"Number","Tool","Severity","RuleId","File","Line","State","Message"
"36","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/claude-dast.yml","73","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"35","Semgrep OSS",,"yaml.github-actions.security.run-shell-injection.run-shell-injection",".github/workflows/claude-dast.yml","58","open","Using variable interpolation `${{...}}` with `github` context data in a `run:` step could allow an attacker to inject their own code into the runner. This would allow them to steal secrets and code. `github` context data can have arbitrary user input and should be treated as untrusted. Instead, use an intermediate environment variable with `env:` to store the data and use the environment variable in the `run:` script. Be sure to use double-quotes the environment variable, like this: ""$ENVVAR""."
"34","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/claude-dast.yml","38","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"33","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/claude-dast.yml","35","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"32","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/security-pipeline.yml","107","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"31","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/security-pipeline.yml","30","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"29","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/security-pipeline.yml","85","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"28","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/security-pipeline.yml","71","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"27","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/security-pipeline.yml","57","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"26","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/security-pipeline.yml","43","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"24","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/auto-remediate.yml","53","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
"23","Semgrep OSS",,"yaml.github-actions.security.github-actions-mutable-action-tag.github-actions-mutable-action-tag",".github/workflows/auto-remediate.yml","35","open","GitHub Actions step uses a mutable tag or branch reference. Tags and branch names can be silently repointed by the action owner, enabling supply-chain attacks ΓÇö as seen in the trivy-action and kics-github-action compromises. Pin the reference to a full 40-character commit SHA instead, e.g. `uses: actions/checkout@8ade135a41bc03ea155e62e844d188df1ea18608`."
